Composer's Name	Death Year
(Anonim)	
Unknown	
A. Baki Çallýoðlu	
A. Turgut Yarar	
A. Ziyaeddin Paþa	
Abdullah Aða	1826
Abdullah Balak	
Abdullah Uluçelik	
Abdurrahim Karakoç	
Abdurrahman Kýzýlay	
Abdurrahman Saracoðlu	
Abdül Kadir	
Abdülaziz Efendi (Hekimbaþý)	1783
Abdülbâkî Baykara	
Abdülbakî Nâsýr Dede	1821
Abdülhak Hamit Tarhan	
Abdülhalim Aða	1790
Abdülkadir Meragî	1435
Abdülvahit Kuzecioðlu	
Abdürrahim Dede	1799
Abdürrahim Künhî Dede	1831
Abidin Yýlýk	
Adnan Aydemir	
Adnan Kaþ	
Adnan Þeker	
Adnan Varveren	
Adnan Veli Kanýk	1972
Âfet Mýsýrlýyan	1922
Ahenî Çelebi	1700
Ahmed Aða	
Ahmed Irsoy	1943
Ahmed Muhtar Efendi	
Ahmet Aksoy	1967
Ahmet Altuner	
Ahmet Avni Konuk	1938
Ahmet Aymutlu	
Ahmet Cengizoðlu	
Ahmet Cevat Ohundzade	
Ahmet Çoban Giray	
Ahmet Feyzi Bey	
Ahmet Gazi Ayhan	
Ahmet Hâþim	1933
Ahmet Hatipoðlu	
Ahmet Ýlkan San	
Ahmet Mithat Güpgüpoðlu	1931
Ahmet Muhtar Paþa	1919
Ahmet Mükerrem Akýncý	1940
Ahmet Özdemir	
Ahmet Paþa	
Ahmet Rasim Bey	1932
Ahmet Refik Altýnay	1937
Ahmet Reþat Paþa	
Ahmet Selçuk Ýlkan	
Ahmet Sevinç	
Ahmet Uzel	1998
Ahmet Uzungöl	
Ahmet Veliyeddin Paþa	
Ahmet Yamacý	
Ahmet Yamacý	
Aka Gündüz	
Akýn Özkan	2007
Âkif Paþazade	
Akkirmani	
Alaattin Þensoy	
Alâeddin Pakyüz	
Alâeddin Yavaþca	
Aleko Bacanos	1950
Ali Bey (Enderûnî)	1897
Ali Bozan	
Ali Can	
Ali Cevat Polat	
Ali Ciyez	
Ali Ekber Çiçek	2006
Ali Fâik Ozansoy	
Ali Hýzýr Bey	
Ali Ýçinger	
Ali Ýhsan Birgül	
Ali Paþa	
Ali Paþa (Efrasiyaboðlu)	
Ali Polattemir	
Ali Rýfat Çaðatay	1935
Ali Rýzâ Avni Týnaz	1995
Ali Rýza Saðman	1965
Ali Rýzâ Þengel (Eyyûbî)	1953
Ali Þefkâtî Efendi	
Ali Þenozan	
Ali Ufkî	1676
Ali Ulvi Baradan	1984
Âmâ	
Âmâ Hasadur	
Âma Kadri Efendi	1650
Âmir Ateþ	
Andon Efendi	1925
Arabzade Abdurrahman Efendi	
Arif Dündar Atak´er	
Ârif Mehmed Aða	1843
Arif Sað	
Ârif Sâmi Toker	1997
Arif Þentürk	
Arslan Kaynardað	
Arþak Çömlekçiyan	
Artaki Candan	1948
Âsaf Güven	
Asariye HatibiÝ brahim Efendi	1880
Asdik Aða	1913
Asým Dirim	1967
Aslan Tunçata	
Âþýk	
Âþýk Ali Ýzzet Özkan	
Âþýk Cevlânî	
Âþýk Emrah	
Âþýk Hýfzî	
Âþýk Ömer	
Âþýk Seyfî	
Âþýk Veysel	1973
Âþýk Yener	
Atýf Baþtuð	
Atýnç Emnalar	2010
Attilâ Ýlhan	
Atuf Yâr	
Avanoslu Selahattin	
Avni Anýl	2008
Avram Naum	
Aydan His 	
Aydýn Oran	
Aydýn Ünsal	
Ayhan Ýlter	
Ayhan Zeren	2014
Ayþe Birgül Yýlmaz	
Ayþe Meral Gürgan	
Aytekin Ersan	
Ayten Baykal	
Aziz Dede	1905
Aziz Mahmud Hüdâî	1628
Aziz Þenses	
Azmi Körükçü	
Bâdî Nedim Bey	
Baðdatlý Esâd Efendi	
Bahadýr Akkuzu	
Bahaeddin Bey (Eyyubi)	
Bahri Altýntaþ	
Bahriyeli Vâsýf	
Bakýr Yurtsever	1985
Bâkî	
Baki Çallýoðlu	
Baki Duyarlar	2003
Baki Suha Ediboðlu	1972
Balarýsý Metin	
Barýþ Manço	1999
Basmacý Abdi Efendi	1851
Batrik Kiryazis	
Bayburtlu Zihnî	
Bedirhan Kýrmýzý	
Bedri Noyan	
Bedri Ziya Aktuna	
Behçet Kemal Çaðlar	1969
Behram Aða (Nefirî)	1560
Behzat Bayer	
Bekir Sýtký Erdoðan	
Bekir Sýtký Sezgin	1996
Bekirof	
Benli Hasan Aða	1664
Bestenigâr Ziyâ Bey	1923
Betül Ersel	
Beylerbeyli Kýz Hakký	
Bilge Özgen	
Bîmen Þen	1943
Birgin Tokatlýoðlu	
Birsen Bahadýr	
Birsin Kozluca	
Bob Azzam	
Bolâhenk Nuri Bey	1910
Buhûrizâde Abdülkerim Efendi	
Buhûrizâde Mustafa Itrî Efendi	
Bulduk Duvan	
Burhan Bey	
Bursalý Ýsmail Hakký	
Bülbülî Salih Efendi	1923
Cahit Atasoy	2002
Cahit Deniz	
Cahit Sýtký Tarancý	1956
Canan Yaman	
Cansýn Erol	
Cavid Erden	
Cavit Ersoy	
Celâdet Barbarosoðlu	
Celal Erten	
Celal Güzelses	
Cem Karaca	
Cemal Altýniðne	
Cemal Atayman	
Cemal Ethem Yeþil	
Cemal Yakar	
Cemal-i Nabedid	
Cemil Bey (Kânûnî)	
Cemil Cankat	
Cemil Deðer	
Cemile Cevher	
Cenab Þahabettin	1934
Cenap Muhittin Kozanoðlu	1972
Cengizhan Mutlu	
Cevdet Çaðla	1988
Ceyhun Savaþan	
Cihangirli Ali Bey	
Cinuçen Tanrýkorur	2000
Civan Aða	1910
Corci (Kemani)	1805
Coþkun Açýkgöz	
Cüneyd Kosal	
Çalakzade Mustafa Efendi	1757
Çaykovski	
Çiðdem Talu	
Çilingirzâde Ahmed Aða	1863
Çopur Ahmet	
Çorlulu Âþýk	1850
Çömlekçizâde Recep Çelebi	
Damat Ýbrahim Paþa	1730
Danbeni Rýza Bey	
Dario Moreno	
Dede Efendi	1846
Dede Salih Efendi	1888
Dellalzâde Ýsmail Efendi	1869
Denizoðlu	
Denizoðlu Ali Bey	1860
Dertli	
Derviþ Musa	
Derviþ Mustafa	
Derviþ Osman Sîneçâk	
Dilhayat Kalfa	1780
Doðan Öðe	
Dramalý Hasan Hasgüler	1984
Dursun Karaca	
Dursun Tanyaþ	2009
Dürrî Turan	1961
E. Cihat Hýrçýn	
Ebûbekir Aða	1759
Edip Akbayram	
Edip Yücelen	1982
Edirneli Ahmet Çelebi	
Ekrem Güyer	1954
Emin Akan	
Emin Aldemir	
Emin Ongan	1985
Emin Yazýcý	1945
Emine Ertem	
Emriye Gürdal	
Enderûnî Hüseyin Fâzýl Bey	
Enderuni Mehmet	
Enderûnî Vâsýf	
Enfî Hasan Aða	1729
Engin Çýr	
Enis Behiç Koryürek	
Enîse Can	
Enverî	1959
Ercüment Berker	2009
Ercüment Er	
Erdal Eroðlu	
Erdal Ýyiöz	
Erdinç Çelikkol	
Erdoðan Berker	
Erdoðan Yýldýzel	
Ergin Þenyol	
Erkan Yolseven	
Erol Baþara	
Erol Bingöl	
Erol Köker	
Erol Özbayram	
Erol Sayan	
